,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
350,junin,0,AR,1612652169,71,-34.5838,-60.9433,75.99,3.29
351,ramapuram,60,IN,1612652169,84,13.1167,79.2,61.74,3.27
352,billings,90,US,1612651920,85,45.7833,-108.5007,8.01,5.75
353,bathsheba,20,BB,1612651688,69,13.2167,-59.5167,78.8,18.41
354,kiunga,98,PG,1612651877,87,-6.1219,141.2906,79.38,2.51
355,vila franca do campo,75,PT,1612652022,94,37.7167,-25.4333,60.01,16.11
356,yakeshi,11,CN,1612652170,87,49.2833,120.7333,-22.25,3.51
357,mabai,54,CN,1612652171,100,23.0128,104.4508,49.64,2.37
358,preston,100,GB,1612652031,91,53.7667,-2.7167,37.0,15.01
359,ampanihy,0,MG,1612651867,90,-24.7,44.75,74.79,4.09
360,tiznit,33,MA,1612652171,83,29.5833,-9.5,48.81,14.74
361,east london,6,ZA,1612651699,88,-33.0153,27.9116,74.59,7.27
362,tambura,8,SS,1612652135,25,5.6,27.4667,67.1,5.59
363,iraquara,65,BR,1612651927,75,-12.2486,-41.6194,72.12,1.43
